name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"11.0511, 106.7568",2022-07-17T00:00:00,28,33.4,26,88.91,0.6,100,rain,0,0,16.2,7.6,260,1010,50,10,0,,0,10,"Rain, Partially cloudy",rain,VVTS
"11.0511, 106.7568",2022-07-17T01:00:00,27,31,26,94.27,0.4,100,rain,0,0,17.3,3.6,320,1009,50,10,0,,0,10,"Rain, Partially cloudy",rain,VVTS
"11.0511, 106.7568",2022-07-17T02:00:00,27,31,26,94.27,0,0,,0,0,22,5.4,10,1009,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,VVTS
"11.0511, 106.7568",2022-07-17T03:00:00,27,30.5,25,88.83,0.3,100,rain,0,0,26.6,9.4,30,1008,50,10,0,,0,10,"Rain, Partially cloudy",rain,VVTS
"11.0511, 106.7568",2022-07-17T04:00:00,26,26,25,94.23,0,0,,0,0,27,7.6,40,1008,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,VVTS
"11.0511, 106.7568",2022-07-17T05:00:00,26,26,25,94.23,0,0,,0,0,26.3,3.6,80,1008,50,8,0,,0,10,Partially cloudy,partly-cloudy-night,VVTS
"11.0511, 106.7568",2022-07-17T06:00:00,26,26,25,94.23,0,0,,0,0,24.1,5.4,20.8,1009,50,8,10,0,0,3,Partially cloudy,partly-cloudy-day,VVTS
"11.0511, 106.7568",2022-07-17T07:00:00,28,32.6,25,83.78,0,0,,0,0,13,10.1,58.1,1009,25,10,152,0.5,2,3,Partially cloudy,partly-cloudy-day,VVTS
"11.0511, 106.7568",2022-07-17T08:00:00,30,36.1,25,74.62,0,0,,0,0,8.6,1.8,96.6,1009,50,10,339,1.2,3,10,Partially cloudy,partly-cloudy-day,VVTS
"11.0511, 106.7568",2022-07-17T09:00:00,30,36.1,25,74.62,0,0,,0,0,7.6,3.6,130.5,1010,88,8,582,2.1,6,30,Partially cloudy,partly-cloudy-day,VVTS
"11.0511, 106.7568",2022-07-17T10:00:00,31,37.6,25,70.47,0,0,,0,0,7.6,7.6,180.3,1010,88,10,778,2.8,8,30,Partially cloudy,partly-cloudy-day,VVTS
"11.0511, 106.7568",2022-07-17T11:00:00,32,36.7,23,59.03,0,0,,0,0,9,11.2,260,1009,88,10,911,3.3,9,30,Partially cloudy,partly-cloudy-day,VVTS
"11.0511, 106.7568",2022-07-17T12:00:00,31,36.4,24,66.37,0,0,,0,0,9,9.4,270,1009,88,10,956,3.4,10,30,Partially cloudy,partly-cloudy-day,VVTS
"11.0511, 106.7568",2022-07-17T13:00:00,31,36.4,24,66.37,0.1,100,rain,0,0,8.3,7.9,238.8,1008,50,10,675,2.4,7,30,"Rain, Partially cloudy",rain,VVTS
