name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"11.0511, 106.7568",2022-06-01T00:00:00,28,33.6,26,88.92,0,0,,0,0,24.5,9.4,220,1007,50,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T01:00:00,27.9,33.3,25.9,89.16,0,0,rain,0,0,20.5,7.7,214,1007,56.5,11.6,0,,0,30,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T02:00:00,28,33.6,26,88.92,0.7,100,rain,0,0,13,7.6,210,1006,50,10,0,,0,30,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T03:00:00,28,33.6,26,88.92,0.1,100,rain,0,0,14.8,9.4,230,1006,50,10,0,,0,30,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T04:00:00,27.8,33.1,25.9,89.5,0,0,,0,0,12.2,7.8,220,1006.1,51.6,11.6,0,,0,30,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T05:00:00,28,33.6,26,88.92,0,0,,0,0,10.1,5.4,182.8,1007,50,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T06:00:00,28,33.6,26,88.92,0,0,,0,0,11.5,9.4,230,1007,89,10,11,0,0,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T07:00:00,27.9,33.3,26,89.59,0,0,,0,0,10.8,2.6,172.9,1008,90.8,11.6,161,0.6,2,60,Overcast,cloudy,"48894099999,48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T08:00:00,29,35.6,26,83.9,0,0,,0,0,10.8,5.4,177.4,1008,50,10,388,1.4,4,60,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T09:00:00,29,35.6,26,83.9,0.3,100,rain,0,0,11.9,7.6,230,1008,50,10,602,2.2,6,60,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T10:00:00,28.9,35.4,26,84.53,0,0,,0,0,14,4.9,180,1008.1,89.1,11.6,778,2.8,8,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T11:00:00,30,38.8,27,84.01,1.1,100,rain,0,0,15.1,3.6,194,1008,89,10,896,3.2,9,30,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T12:00:00,30,37.4,26,79.2,0.2,100,rain,0,0,15.8,3.6,196.1,1007,89,10,922,3.3,9,30,"Rain, Partially cloudy",rain,"48900099999,VVTS"
"11.0511, 106.7568",2022-06-01T13:00:00,31.9,40,25.7,69.83,0,0,,0,0,14.8,4.9,180,1006.2,89.1,11.6,670,2.4,7,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
